order_number,table_number,timestamp,items_summary,universal_comment,order_total,printed_status,items_json
IPP-20260419_001720_299811,IPP,2026-04-19 00:17:22,1x mazada | 670x for 60 month 1.9,,,No (routed),"[{""name"": ""mazada"", ""nameZh"": """", ""category"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""for 60 month 1.9"", ""nameZh"": """", ""category"": """", ""quantity"": 670, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
IPP-20260419_001741_641179,IPP,2026-04-19 00:17:43,1x Captured print job ipp-job-20260419_001740_733163.pdf,,,No (routed),"[{""name"": ""Captured print job ipp-job-20260419_001740_733163.pdf"", ""nameZh"": """", ""category"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
IPP-20260419_001816_727196,IPP,2026-04-19 00:18:18,1x mazada | 670x for 60 month 1.9,,,No (routed),"[{""name"": ""mazada"", ""nameZh"": """", ""category"": """", ""quantity"": 1, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}, {""name"": ""for 60 month 1.9"", ""nameZh"": """", ""category"": """", ""quantity"": 670, ""price"": 0.0, ""selectedOptions"": [], ""merchantSuppliedId"": """", ""doorDashLineItemId"": """", ""comment"": """"}]"
